Accuracy,Precision,Recall,F1,AUC
0.753126327132968,0.6074039190136963,0.941726618705036,0.7383877479086616,0.7920966957069394
0.7645003432850611,0.6313981958045035,0.8742805755395683,0.7331098730065402,0.807072446516608
0.7791985620956668,0.6515570379365971,0.8679856115107913,0.7441736969105257,0.8270856209115287
0.7791985620956668,0.6515570379365971,0.8679856115107913,0.7441736969105257,0.827473334312914
0.7802626573094946,0.6525991468833061,0.8696043165467626,0.7454670162987781,0.8276957228344015
0.7802627457850257,0.6527634472683406,0.8688848920863309,0.7453102965266993,0.8285226448384286
0.7855168209679931,0.6535441306198639,0.8962230215827336,0.7556860354336815,0.8402109062753139
0.7932313121982985,0.6592943137473506,0.9142086330935252,0.7659528063432184,0.8514341618747829
0.79855165555414,0.6675876036759348,0.908453237410072,0.769459972930252,0.8554966895917723
0.8006135335711555,0.6712722016431322,0.904496402877698,0.7704835715683513,0.8635553699983085
0.8111873770190117,0.685203853559337,0.9064748201438848,0.78034218731044,0.8672558282888613
0.8200996499907985,0.6979819661925877,0.9064748201438849,0.7885528299887493,0.8796277258131473
0.823757538115259,0.7014676856220781,0.912589928057554,0.7930858717430788,0.8919671274462392
0.830407226327487,0.7112468001387767,0.9129496402877697,0.799417344491712,0.9052328714334615
0.8316046541668436,0.710770133929821,0.9197841726618705,0.8017348576245146,0.9076292397637902
0.835927480146091,0.7242945619778645,0.8994604316546763,0.802277279187831,0.9170874674620375
0.8447735734205348,0.7336267105045118,0.9120503597122301,0.8130345679238479,0.9296074838964593
0.8984447328746763,0.8973843256929654,0.8190647482014389,0.8563380901288152,0.9614951590650275
0.9068245600996588,0.9016324727376948,0.8397482014388489,0.8694988411738995,0.9658660164018545
0.9154034572698574,0.8917179350511025,0.8780575539568345,0.8847282579082348,0.9717158711243616
0.9169334646310217,0.8991352147826628,0.8735611510791366,0.8860728813092509,0.9730153923390633
0.9222542946022848,0.9131177897511218,0.873021582733813,0.8924497420311545,0.9752981911317751
0.922387052136861,0.9097674777266956,0.8771582733812948,0.8931073158854698,0.9756913649904266
0.9412748085389504,0.9518955079182143,0.8859712230215827,0.9177212798721126,0.9831383019912382
0.9432699760054358,0.9536317273296471,0.8899280575539568,0.920645366478759,0.9844701397931553
0.9521158480910519,0.962767336216967,0.9055755395683454,0.9332778100255134,0.987105486670506
0.9537783033224333,0.9601472690722372,0.9129496402877697,0.935925125147722,0.9873812941546566
0.9578349064282781,0.9675374839020815,0.916726618705036,0.9414334246234259,0.9884587170398417
0.9584334876346597,0.966536020810118,0.9194244604316546,0.9423823282709668,0.98827918717784
0.9583672194617858,0.9663583704395245,0.9194244604316548,0.9422864475387872,0.9883836636998129
0.9607612346229526,0.9683373843712314,0.9241007194244604,0.9456821344541266,0.9893351984633405
0.962889557763905,0.9681871830385903,0.9302158273381295,0.9488001473940907,0.9904291314385434
0.9644193881740065,0.9711444300179906,0.9314748201438849,0.9508706859954017,0.9908241824796347
0.9659487319686868,0.9725007316596377,0.9343525179856114,0.9530163456721816,0.9914929832162501
0.9660817549298567,0.9726988061869818,0.9345323741007195,0.9532033019723933,0.9913495720873478
0.9660151328548577,0.9714326391687246,0.935611510791367,0.9531695382474294,0.9914978459601962
0.966879759983579,0.972732924155928,0.9366906474820146,0.9543523975199125,0.9917501674278452
