Accuracy,Precision,Recall,F1,AUC
0.747938564183925,0.5997284149072754,0.9139705882352942,0.7240928609783703,0.7838929141594008
0.800344044819673,0.8209151495599103,0.574264705882353,0.6749017058625847,0.859262164237433
0.806330212199337,0.8116509532337745,0.6055147058823529,0.6929673675651238,0.88433261313398
0.8844103252401053,0.8484966478754051,0.8290441176470587,0.8383609690879466,0.9325389993386446
0.8913262812703631,0.8746643049747302,0.8172794117647058,0.844592296154121,0.939873669294179
0.9043620916791794,0.87718969323546,0.85625,0.8662789269990722,0.9538697459346472
0.9143379748987165,0.9075820669330217,0.8503676470588235,0.8777228776556305,0.959852666144746
0.9159330113040769,0.8969684704662464,0.8680147058823529,0.8819302001258155,0.9653984226290987
0.9236486103634871,0.9186940218863006,0.8665441176470589,0.891409839281925,0.968817491505997
0.9316301668697056,0.9248766550032517,0.8838235294117647,0.9033818345400059,0.9743909886175242
0.9360211207751368,0.9347308090672384,0.8856617647058824,0.9091365936141047,0.9762971711388106
0.9380158016262005,0.9315685289555237,0.8952205882352942,0.912575234169287,0.9781001544015309
0.9453308708955437,0.9402774580222035,0.906985294117647,0.9230681863632781,0.9784438633066745
0.9477248420545656,0.9450114942141434,0.9088235294117647,0.9263031587671593,0.9801883143817287
0.947458353401139,0.9445293859980308,0.9084558823529412,0.9259202005636352,0.9811426113046993
0.9507837068306089,0.9412974566580171,0.9216911764705884,0.931241218505234,0.9828604618550185
0.9545087047057823,0.9476494930009494,0.9257352941176471,0.9363887577803578,0.9833896988466577
0.9546420375669319,0.9484597294693579,0.9253676470588236,0.9365421394567408,0.9839549186225899
0.9573017891038897,0.9501455819984939,0.93125,0.9403945625217274,0.9848889983152708
0.9566370725557413,0.94996599550105,0.9294117647058823,0.9394156040089298,0.9850633404457817
0.9580998385131879,0.9533339639599874,0.9301470588235295,0.9414040627381647,0.986665221151091
0.9600955817774881,0.9569976376585242,0.931985294117647,0.9441324843767045,0.9876248068381841
0.9620904396974247,0.9673231214489295,0.9268382352941178,0.946482435307647,0.9884135538512118
0.9618244822506161,0.9670149697509081,0.9264705882352942,0.9461248899577038,0.9886391206404272
0.9614255460804035,0.9652220733310802,0.9272058823529413,0.9456243275739962,0.9893515047753183
0.9631548006912769,0.9682376995024102,0.9290441176470587,0.9480263040015687,0.9896972516335605
0.9644849420630649,0.9700465735531351,0.9308823529411765,0.9498848263463424,0.9903067403240003
0.9640858288239794,0.9697524347119874,0.9301470588235293,0.9493283875204099,0.9905411425073684
0.9642180992718927,0.9677190935364827,0.9327205882352942,0.9496581112374658,0.9908578639245365
0.9660805096750431,0.9708146395174421,0.9345588235294116,0.952222341364714,0.9909661416758772
0.9668787361532141,0.9691474241918572,0.9386029411764707,0.9534692136654785,0.9917828403869378
0.9670120690143639,0.9706845757749198,0.9375,0.9536154022850267,0.9912302113075138
0.9666131328441511,0.9688318984880713,0.9382352941176471,0.9531116189646112,0.9916627546601886
0.9679430971470662,0.9717525594360531,0.938970588235294,0.954921268414533,0.9917298416137073
0.9704702240983651,0.9754629464364728,0.9422794117647058,0.958455363951406,0.9921155256367946
0.9700712879281526,0.973275862375408,0.9433823529411764,0.9579889150771514,0.9926208996287711
0.970470401167238,0.9732425347292505,0.9444852941176471,0.9585478110501372,0.9928973808664907
0.9696718205513216,0.9729084838153529,0.9426470588235294,0.957423533089638,0.9929043957744893
0.970470401167238,0.9743798810128101,0.9433823529411764,0.9585210527037409,0.9930138959778849
0.9711349406465137,0.9733400885241987,0.9463235294117647,0.9595445581945844,0.99339964556086
0.9710017848542367,0.9729605422902109,0.9463235294117647,0.9593424561081194,0.9930506902656677
0.9708689831997053,0.9743530183022884,0.9444852941176471,0.9590958895692344,0.9932305578155061
0.9708679207864689,0.9732986553502917,0.9455882352941176,0.9591386619696317,0.9934575333427995
0.9720652605037253,0.9755227790024291,0.9466911764705882,0.9608056061481021,0.9935551688055181
0.9727306853273647,0.9759040310419212,0.9481617647058824,0.9617482333244849,0.9934091093705227
0.9729966427741733,0.9763075801085417,0.948529411764706,0.9621216270240641,0.9935253030785646
0.9732627772898546,0.9766490452259793,0.9488970588235295,0.962496788831162,0.9936268241639036
0.9727308623962376,0.9759339082979276,0.9481617647058824,0.9617670163186995,0.993685916009149
0.9719328129869392,0.9744573418191763,0.9474264705882354,0.9606480933160828,0.9937083246986165
0.9740608266991527,0.9785597273073572,0.9492647058823531,0.9635997978312336,0.9938097634343401
0.9735285576677903,0.9774479262610551,0.9488970588235295,0.96287970406956,0.9935846403736338
0.9737939839079808,0.9792932947460932,0.9477941176470589,0.9631872053857581,0.9942191169754697
0.9735285576677903,0.9771507610993948,0.9492647058823529,0.9628928798756824,0.9944471014854273
0.9732622460832363,0.9781664509604953,0.9474264705882354,0.9624484611442176,0.9941898284953335
0.9740610037680255,0.9782519792703663,0.9496323529411764,0.9636279316992518,0.9942288646114761
0.9743260758704704,0.9788965149410889,0.9496323529411764,0.9639579432014174,0.9944252316662574
0.9748588761084511,0.980387093799308,0.9496323529411764,0.9646798357916871,0.9941310596524622
0.9737945151145988,0.9796735925860555,0.9474264705882354,0.9631555103240638,0.9940939063843178
0.9731292673598322,0.9781697615626653,0.9470588235294116,0.9622493056753065,0.994014479780691
0.9744595858004927,0.9796260074005796,0.9492647058823529,0.9641117215495567,0.9942352391113021
0.9748590531773237,0.9826037277733415,0.9474264705882354,0.9645961705597627,0.9941961550245099
0.9739278479757486,0.9811524961516991,0.9463235294117647,0.9633105836717814,0.9942258392625056
0.973396287219877,0.9796337051702217,0.9463235294117647,0.9625899951978655,0.9944136483533914
0.9716663243335126,0.9762792838089585,0.9448529411764707,0.9602049809804136,0.9939234083018645
0.9733950477377679,0.978533068907527,0.9474264705882354,0.9626385758578418,0.9940690264068832
