Accuracy,Precision,Recall,F1,AUC
0.8184210526315789,0.8279753753685126,0.6089326096788783,0.7012331801074367,0.7700577026889015
0.8184210526315789,0.8279753753685126,0.6089326096788783,0.7012331801074367,0.8440901226646966
0.8163157894736841,0.8267149683379852,0.6029398462234283,0.6966739366737273,0.8479259543246502
0.8321052631578947,0.9307392055014944,0.5637268204432384,0.7009217410129065,0.8685759275826006
0.8963157894736842,0.8169651178323946,0.9082994120307554,0.8598789108959688,0.9452546005933427
0.9052631578947368,0.841248808080121,0.8992989597467209,0.868971672635177,0.9507665075665945
0.9226315789473685,0.8943075147398817,0.8857530529172319,0.8889404623691078,0.959424206127648
0.93,0.8980888813761423,0.9037991858887381,0.9004655448236873,0.9667589605438227
0.9326315789473686,0.9021256591288346,0.906829488919041,0.9041362153130164,0.965822833120002
0.9336842105263159,0.8976606334405872,0.9158299412030756,0.9062474785106375,0.9758407977101831
0.9326315789473684,0.8951048404265383,0.9158299412030756,0.9048947582703407,0.9751143609610912
0.9442105263157895,0.9318994717663328,0.9082994120307554,0.9192737083257045,0.9818531573233182
0.9547368421052631,0.9477517042873433,0.9233152419719584,0.9345419049118069,0.9875565466245767
0.9600000000000002,0.9551953675060609,0.9293080054274083,0.9417081209912093,0.987021194097462
0.9715789473684211,0.9729349880958124,0.9458389868837631,0.9587962520540854,0.9905740035072472
0.9694736842105265,0.9700009711596079,0.9428312980551785,0.9556559143650241,0.9908915697956822
0.9715789473684209,0.9689894680406118,0.9503618272274987,0.9590973554034292,0.9906417571501622
0.9731578947368422,0.9757999473735015,0.9473993668023519,0.9610877586721523,0.9894172163643551
0.9736842105263159,0.9743852713779733,0.9504070556309362,0.9619704557560601,0.9920328174590889
0.9773684210526318,0.9760782914386619,0.9594301221166892,0.9673710092409451,0.9956086703134069
0.9778947368421054,0.9774785998315411,0.9594753505201267,0.9681362366262756,0.99513925437543
0.9773684210526316,0.9777007320586977,0.9578923563998192,0.9673783500227928,0.9959949621572418
0.9773684210526316,0.9763360268603236,0.9594301221166892,0.9673893825573205,0.9961096055734486
0.9742105263157894,0.971805635132841,0.9548846675712348,0.962945485723423,0.9956545214525327
