Accuracy,Precision,Recall,F1,AUC
0.8442105263157895,0.7683234046511682,0.7967661691542289,0.7805381929762584,0.9054168975236825
0.9436842105263159,0.9223395927818425,0.9172320217096337,0.9193647193789705,0.9780513982017529
0.9526315789473685,0.9429454603986324,0.9217548620533697,0.9314045015295402,0.9835570444572788
0.9636842105263158,0.9596616529655975,0.9368159203980099,0.9472036860518646,0.9875925451954874
0.9631578947368421,0.962378068250878,0.9322704658525552,0.9462913284931906,0.9912673084936522
0.9657894736842106,0.9652441482096534,0.9367706919945725,0.9501109206864298,0.9920238100321651
0.9668421052631577,0.9714413750574857,0.9337403889642696,0.9514353668420776,0.9929122025414021
0.9673684210526317,0.9725780935821919,0.9337856173677069,0.9522036828371041,0.9930284094689986
0.9647368421052631,0.9696723843608984,0.929262777023971,0.9483237370630423,0.9929292632752125
0.968421052631579,0.9772478497636478,0.9322704658525554,0.9535484046659658,0.9939762910289408
0.9673684210526317,0.9770253841987767,0.929262777023971,0.9519343108488,0.9942088739123921
0.9694736842105263,0.9772436123658951,0.9353007688828585,0.9552851387294063,0.9938061551907154
0.9694736842105263,0.9798935724308858,0.9322704658525554,0.9549694759038452,0.9938143775258604
0.9705263157894736,0.9787245370916015,0.9368159203980099,0.9568065543859607,0.9944622606159532
0.97,0.9802110795724411,0.9338082315694256,0.9558472393685807,0.9918988314275842
0.9689473684210526,0.9771902543199396,0.9337856173677069,0.9543769078298826,0.9933838825684183
0.9715789473684211,0.9831274544557278,0.9353007688828585,0.9581976778921699,0.9936440548669285
0.9694736842105263,0.9802614354530966,0.9322704658525554,0.9550446408799397,0.9950409711153837
0.9705263157894736,0.977204158178423,0.9383310719131615,0.9569306757252901,0.9941691322551822
0.968421052631579,0.9800693297846997,0.929262777023971,0.9534598886973562,0.99478230227875
0.9694736842105265,0.9815393528172229,0.9307779285391226,0.9548754337508113,0.994906985083879
0.9694736842105265,0.9815867013020714,0.9307779285391226,0.9550573137208322,0.9941940772676208
0.97,0.9829793342068012,0.9307553143374039,0.9556346402976732,0.9943013857470391
0.9694736842105263,0.9846891544045245,0.927792853912257,0.9548281807635552,0.994078715481316
0.9663157894736842,0.9784399544557276,0.9247173224785165,0.9503248211520873,0.9945735835165065
0.9694736842105265,0.9815432334209417,0.9307553143374039,0.9549175657086604,0.994212363456304
0.97,0.9862238607211908,0.9277928539122569,0.9555509528513036,0.9945895455666379
0.9700000000000001,0.9844809921795961,0.929262777023971,0.9556277400071895,0.9938406992289821
0.9710526315789474,0.9861194970439072,0.9307553143374039,0.957213242568475,0.9942753420509213
0.9700000000000001,0.9847147560430294,0.929262777023971,0.9556633902165086,0.994334848894075
0.97,0.9861194970439072,0.9277702397105381,0.955552336260902,0.9949483569741595
0.968421052631579,0.9831918902843094,0.9262550881953866,0.9532609523202806,0.9940370055345189
0.9710526315789474,0.9891964201208303,0.9277250113071009,0.957033780099265,0.9946534293520595
0.9673684210526317,0.9834027130035577,0.9232247851650837,0.9517142211556127,0.9940821205110988
0.9710526315789474,0.9891715816080886,0.9277702397105383,0.9568235154444885,0.9941234256796981
0.9689473684210526,0.9844801527816122,0.9262550881953867,0.9538773835145614,0.9945377295092379
0.97,0.9831125756498891,0.9308005427408412,0.9557686385756871,0.994737102788041
0.9689473684210526,0.9860418527304089,0.9247173224785163,0.9538482901338137,0.9944274207782346
0.968421052631579,0.9862095345109939,0.9232247851650837,0.9531195169449713,0.993915238466846
0.9700000000000001,0.9862095345109939,0.9277476255088194,0.9556468380610215,0.9946658596012143
0.9689473684210526,0.9876098816592919,0.9232247851650837,0.9537820407095549,0.994498790736255
0.97,0.9861194970439072,0.9277476255088194,0.9553798673947231,0.9944483691619863
0.9705263157894736,0.9875586783822822,0.9277476255088194,0.956153054546286,0.9934249764516947
0.9689473684210526,0.986134896238411,0.9247173224785165,0.95383555348445,0.9946285688537501
0.9694736842105265,0.9891451405716,0.9232021709633649,0.9546216668572061,0.9927598880641495
0.9689473684210526,0.9890955373969967,0.9217096336499321,0.953642293726495,0.9932344838286216
0.9678947368421053,0.9861274963449155,0.9217322478516508,0.952184469613108,0.9940337695329944
0.968421052631579,0.9876568434209894,0.9217322478516508,0.9530483712090465,0.9934365193024932
0.9694736842105263,0.9860682937668976,0.9262550881953867,0.9546747498350718,0.9943662414449459
0.9705263157894736,0.986205140658414,0.9292401628222524,0.9561861994281816,0.9940754794797915
0.9689473684210526,0.988976491514831,0.9217096336499321,0.9536240634249156,0.9941882213280924
0.9689473684210526,0.9874426478942938,0.9232473993668023,0.9537324650781368,0.9937916721378445
0.9694736842105265,0.9907549890564484,0.9217322478516508,0.9544373059579124,0.9937172174141097
0.9694736842105263,0.990784484833895,0.9216870194482134,0.9544274319318411,0.9931609587603077
0.9700000000000001,0.9906700937950937,0.9232247851650837,0.9553594290239295,0.9943863024303417
0.968421052631579,0.9890955373969967,0.9201944821347805,0.9529421661738446,0.9927688109769441
0.968421052631579,0.9876098816592919,0.9217096336499321,0.9531674334324116,0.9939643256074964
0.9673684210526317,0.9864176967359224,0.9202623247399366,0.9514511040600342,0.9924642665365683
0.9673684210526317,0.9892507755790488,0.9171867933061965,0.9513224872980202,0.9935431939259429
0.9705263157894738,0.9905924494815954,0.924739936680235,0.9560711908353555,0.9927868614156882
0.9689473684210526,0.9936740320611289,0.9172094075079149,0.9535799929786293,0.9936673273892321
0.9678947368421053,0.9922436995351113,0.9157168701944821,0.9520877557666788,0.9932070211847565
0.9673684210526317,0.9922317937438905,0.9141564902758933,0.9510112946325467,0.9927092796691743
0.968421052631579,0.9860418527304089,0.9232021709633649,0.9530895870746589,0.9931143225294029
