Without Correlation,With Correlation,Accuracy,Precision,Recall,F1,AUC
23,22,0.9657825302041383,0.9560268987883296,0.9404761904761905,0.9480357994917868,0.9863448887070934
24,23,0.9673614775725594,0.960531182978762,0.9404761904761905,0.9503082186020443,0.9864059297429719
25,24,0.9668351617830858,0.963400426088711,0.9357142857142857,0.9492735424416289,0.9888172884021909
26,25,0.9692049715317317,0.9662196865383665,0.9404761904761905,0.9529989248579442,0.9891098160654821
27,26,0.9697305929731982,0.9662824689410773,0.942063492063492,0.9538240315286977,0.98934502628871
