Accuracy,Precision,Recall,F1,AUC
0.8184210526315789,0.8279753753685126,0.6089326096788783,0.7012331801074367,0.7700577026889015
0.8184210526315789,0.8279753753685126,0.6089326096788783,0.7012331801074367,0.774542304837304
0.8210526315789473,0.800133129922951,0.6555404794210765,0.719024415216091,0.8101874621243258
0.8268421052631579,0.8283870236609518,0.6390773405698779,0.7204582120416063,0.8146350270676516
0.8210526315789475,0.8430676949612576,0.6029850746268657,0.7012321639533478,0.8258432886529373
0.8289473684210525,0.8549488515240355,0.6180009045680688,0.715858472262365,0.8305588256592724
0.8494736842105264,0.880118272940744,0.6616236996834012,0.7544380134378469,0.8444888025006219
0.8478947368421054,0.864839703794952,0.6721393034825871,0.7549506951835475,0.8554225243854399
0.8610526315789473,0.8827020558454401,0.6962912709181366,0.7777462004934298,0.8628133806149852
0.8800000000000001,0.8847059860822389,0.756354590682949,0.8151018290216477,0.8870538899451672
0.8810526315789472,0.889727605265518,0.7548394391677974,0.8162411743903629,0.8889636890826604
0.888421052631579,0.9014567817637016,0.765377657168702,0.8273863263271221,0.883802944988241
0.8942105263157893,0.9156744610731404,0.7699004975124378,0.8358620033124927,0.887237959494424
0.8936842105263156,0.912850656643027,0.7714156490275893,0.835477235156423,0.8885956233779959
0.8984210526315788,0.9245960207400884,0.7744233378561737,0.8421077027276945,0.8865603207586984
0.8973684210526317,0.9199614664544405,0.7759158751696066,0.841052647052382,0.8909891102210141
0.9015789473684211,0.9291264398243462,0.7789461781999096,0.8470671561525039,0.8961050596029223
0.9015789473684211,0.9291311784388542,0.7789461781999096,0.8470936804530167,0.8956143327600605
0.8994736842105263,0.92591545145947,0.7759384893713251,0.8438506218657059,0.8933961193246981
0.9031578947368422,0.9346903395723721,0.7789235639981908,0.8492123113056588,0.8965279238241239
0.9,0.9243926772230988,0.7789461781999096,0.8450286696708138,0.8970179322968876
