Without Correlation,With Correlation,Accuracy,Precision,Recall,F1,AUC
30,25,0.9719365314332663,0.9723116132267297,0.9496323529411764,0.9607144138914278,0.9933251951126222
31,26,0.9728675595659688,0.972734364129478,0.9518382352941176,0.9620193189703956,0.9934745797131483
32,27,0.9731329858061593,0.9734217204803974,0.9518382352941176,0.9623730935095448,0.9935176973320644
33,28,0.9752611765872452,0.9753320007471282,0.9558823529411764,0.9654136494881278,0.9934506623467497
34,29,0.9759266014108847,0.9778847643840844,0.9551470588235296,0.966284058092383,0.9932620977181322
35,30,0.9752611765872452,0.97609753484169,0.9551470588235293,0.9653501952868175,0.9934177169040893
